panel_id,hogar_id,ola,ano_encuesta,lat,lon,zona,region
P0166,1100166,1,2010,6.932494,-75.138382,2,7
P0167,1100167,1,2010,6.093788,-72.667979,2,6
P0168,1100168,1,2010,4.583955,-74.915272,2,1
P0169,1100169,1,2010,5.9467,-72.934974,2,6
P0170,1100170,1,2010,10.898709,-74.805278,1,4
P0171,1100171,1,2010,3.428882,-76.507853,1,3
P0172,1100172,1,2010,4.626751,-74.034915,1,1
P0173,1100173,1,2010,1.98397,-77.771348,2,8
P0174,1100174,1,2010,8.663096,-75.704319,2,9
P0175,1100175,1,2010,10.984258,-74.755416,1,4
P0176,1100176,1,2010,3.682338,-74.494858,2,1
P0177,1100177,1,2010,7.444548,-75.768989,2,7
P0179,1100179,1,2010,6.060832,-73.223152,2,6
P0180,1100180,1,2010,8.573396,-75.878816,2,9
P0182,1100182,1,2010,3.748107,-74.977677,2,1
P0183,1100183,1,2010,4.64383,-74.20252,1,1
P0184,1100184,1,2010,1.646659,-77.177491,2,8
P0185,1100185,1,2010,4.361078,-74.486877,2,1
P0186,1100186,1,2010,4.662495,-74.130251,1,1
P0187,1100187,1,2010,4.614853,-73.954281,1,1
P0188,1100188,1,2010,4.596091,-74.040998,1,1
P0189,1100189,1,2010,6.255597,-75.488904,1,2
P0190,1100190,1,2010,1.498778,-77.626802,2,8
P0191,1100191,1,2010,10.394294,-75.540318,1,5
P0192,1100192,1,2010,1.653594,-77.588443,2,8
P0193,1100193,1,2010,6.291901,-75.62942,1,2
P0194,1100194,1,2010,5.990419,-73.362663,2,6
P0195,1100195,1,2010,4.29162,-74.527666,2,1
P0197,1100197,1,2010,3.407511,-76.575867,1,3
P0198,1100198,1,2010,6.204737,-75.608372,1,2
P0199,1100199,1,2010,4.615222,-74.028925,1,1
P0200,1100200,1,2010,8.259131,-75.499323,2,9
P0201,1100201,1,2010,3.477754,-76.48354,1,3
P0202,1100202,1,2010,1.701781,-77.733056,2,8
P0203,1100203,1,2010,4.618759,-74.176761,1,1
P0204,1100204,1,2010,4.699407,-74.031857,1,1
P0206,1100206,1,2010,8.278799,-75.72957,2,9
P0207,1100207,1,2010,5.652648,-73.006032,2,6
P0208,1100208,1,2010,4.624114,-74.019414,1,1
P0209,1100209,1,2010,10.36531,-75.545641,1,5
P0210,1100210,1,2010,10.926587,-74.752884,1,4
P0211,1100211,1,2010,10.92923,-74.715061,1,4
P0212,1100212,1,2010,1.901502,-77.479332,2,8
P0213,1100213,1,2010,4.139388,-74.090502,2,1
P0214,1100214,1,2010,6.303726,-75.670451,1,2
P0216,1100216,1,2010,3.786971,-74.512924,2,1
P0217,1100217,1,2010,1.185938,-77.464368,2,8
P0218,1100218,1,2010,8.010733,-75.627893,2,9
P0219,1100219,1,2010,3.447889,-73.919472,2,1
P0220,1100220,1,2010,3.366439,-76.472964,1,3
P0222,1100222,1,2010,1.545262,-77.162692,2,8
P0223,1100223,1,2010,1.463645,-77.313523,2,8
P0224,1100224,1,2010,6.237479,-75.536482,1,2
P0225,1100225,1,2010,4.62931,-74.116877,1,1
P0226,1100226,1,2010,8.173519,-75.969696,2,9
P0227,1100227,1,2010,6.297473,-75.476871,1,2
P0228,1100228,1,2010,4.651487,-74.107201,1,1
P0229,1100229,1,2010,4.670487,-73.919802,1,1
P0230,1100230,1,2010,4.540708,-73.928537,1,1
P0231,1100231,1,2010,6.582224,-75.140723,2,7
P0232,1100232,1,2010,4.2168,-74.581221,2,1
P0233,1100233,1,2010,4.697263,-73.904625,1,1
P0234,1100234,1,2010,6.29904,-75.52534,1,2
P0235,1100235,1,2010,8.453758,-75.933427,2,9
P0236,1100236,1,2010,3.37724,-76.494036,1,3
P0237,1100237,1,2010,6.993412,-75.098272,2,7
P0238,1100238,1,2010,11.018201,-74.84283,1,4
P0239,1100239,1,2010,6.270472,-75.547046,1,2
P0240,1100240,1,2010,7.004888,-75.827799,2,7
P0241,1100241,1,2010,5.338813,-72.7609,2,6
P0242,1100242,1,2010,10.972881,-74.841996,1,4
P0243,1100243,1,2010,3.47752,-76.547088,1,3
P0244,1100244,1,2010,10.937076,-74.771791,1,4
P0245,1100245,1,2010,5.78291,-73.164199,2,6
P0246,1100246,1,2010,10.351799,-75.499694,1,5
P0247,1100247,1,2010,3.91352,-74.573197,2,1
P0248,1100248,1,2010,1.422866,-77.199314,2,8
P0249,1100249,1,2010,8.34809,-75.226302,2,9
P0250,1100250,1,2010,4.598556,-74.194339,1,1
P0251,1100251,1,2010,4.550815,-74.125679,1,1
P0252,1100252,1,2010,4.667568,-74.182519,1,1
P0253,1100253,1,2010,8.239781,-75.844116,2,9
P0254,1100254,1,2010,3.543935,-76.537493,1,3
P0255,1100255,1,2010,10.893499,-74.800017,1,4
P0256,1100256,1,2010,10.914343,-74.746917,1,4
P0257,1100257,1,2010,4.646838,-74.15459,1,1
P0258,1100258,1,2010,6.873133,-75.347372,2,7
P0259,1100259,1,2010,6.233118,-75.554089,1,2
P0260,1100260,1,2010,6.116838,-75.721146,2,7
P0261,1100261,1,2010,6.126431,-75.563152,1,2
P0262,1100262,1,2010,4.158865,-74.452171,2,1
P0263,1100263,1,2010,6.234439,-75.596704,1,2
P0264,1100264,1,2010,3.419146,-76.536805,1,3
P0265,1100265,1,2010,3.440495,-76.521869,1,3
P0267,1100267,1,2010,7.096775,-75.188983,2,7
P0269,1100269,1,2010,3.734394,-74.858014,2,1
P0270,1100270,1,2010,3.562382,-76.537747,1,3
P0271,1100271,1,2010,6.159599,-75.514711,1,2
P0273,1100273,1,2010,6.428694,-75.508264,2,7
P0275,1100275,1,2010,4.496128,-74.117702,1,1
P0276,1100276,1,2010,6.180278,-75.427543,1,2
P0277,1100277,1,2010,6.261482,-75.448353,1,2
P0278,1100278,1,2010,4.623473,-74.044585,1,1
P0279,1100279,1,2010,4.610454,-74.04226,1,1
P0280,1100280,1,2010,6.703498,-75.395477,2,7
P0281,1100281,1,2010,6.260371,-75.612171,1,2
P0282,1100282,1,2010,3.444916,-76.493296,1,3
P0283,1100283,1,2010,4.626686,-74.189937,1,1
P0285,1100285,1,2010,6.009773,-73.309478,2,6
P0288,1100288,1,2010,4.619921,-74.050077,1,1
P0289,1100289,1,2010,6.588967,-75.559809,2,7
P0290,1100290,1,2010,7.357402,-75.028034,2,7
P0291,1100291,1,2010,10.395271,-75.447115,1,5
P0292,1100292,1,2010,6.244383,-75.603851,1,2
P0293,1100293,1,2010,3.446062,-76.522594,1,3
P0294,1100294,1,2010,4.549784,-74.163261,1,1
P0295,1100295,1,2010,6.062769,-72.645684,2,6
P0296,1100296,1,2010,8.26978,-75.131125,2,9
P0297,1100297,1,2010,4.455487,-74.144613,1,1
P0298,1100298,1,2010,1.263118,-77.78504,2,8
P0299,1100299,1,2010,3.817986,-73.808311,2,1
P0300,1100300,1,2010,1.715204,-77.380233,2,8
P0301,1100301,1,2010,4.573538,-74.192,1,1
P0302,1100302,1,2010,4.56367,-74.133407,1,1
P0303,1100303,1,2010,4.685888,-74.183472,1,1
P0304,1100304,1,2010,11.038032,-74.75496,1,4
P0306,1100306,1,2010,10.975345,-74.858837,1,4
P0308,1100308,1,2010,1.34053,-77.565217,2,8
P0310,1100310,1,2010,4.782845,-74.253678,1,1
P0311,1100311,1,2010,6.018448,-73.197614,2,6
P0312,1100312,1,2010,10.390038,-75.502386,1,5
P0313,1100313,1,2010,10.903232,-74.725307,1,4
P0315,1100315,1,2010,6.241649,-75.641302,1,2
P0318,1100318,1,2010,8.458821,-75.909668,2,9
P0319,1100319,1,2010,4.654764,-74.042982,1,1
P0320,1100320,1,2010,1.729005,-77.113319,2,8
P0321,1100321,1,2010,4.640802,-74.071036,1,1
P0322,1100322,1,2010,10.915169,-74.824397,1,4
P0323,1100323,1,2010,4.474236,-74.23253,1,1
P0325,1100325,1,2010,1.580596,-77.253645,2,8
P0326,1100326,1,2010,8.558508,-75.950475,2,9
P0327,1100327,1,2010,6.187012,-75.547917,1,2
P0328,1100328,1,2010,4.722328,-74.169271,1,1
P0329,1100329,1,2010,3.361171,-76.584977,1,3
P0330,1100330,1,2010,1.515133,-78.01756,2,8
P0332,1100332,1,2010,6.255178,-75.508051,1,2
P0333,1100333,1,2010,6.886147,-75.690818,2,7
P0334,1100334,1,2010,4.651712,-74.147628,1,1
P0335,1100335,1,2010,4.581735,-74.154542,1,1
P0337,1100337,1,2010,3.390654,-76.480264,1,3
P0338,1100338,1,2010,4.623978,-74.051076,1,1
P0339,1100339,1,2010,10.927299,-74.756966,1,4
P0342,1100342,1,2010,4.496979,-74.185367,1,1
P0343,1100343,1,2010,5.593633,-73.216471,2,6
P0345,1100345,1,2010,4.56144,-74.169292,1,1
P0346,1100346,1,2010,10.350395,-75.512609,1,5
P0348,1100348,1,2010,6.229547,-75.424193,1,2
P0349,1100349,1,2010,6.182511,-75.610007,1,2
P0350,1100350,1,2010,10.875719,-74.79299,1,4
P0351,1100351,1,2010,4.776639,-74.080771,1,1
P0353,1100353,1,2010,4.621539,-74.08749,1,1
P0354,1100354,1,2010,6.943698,-75.49874,2,7
P0356,1100356,1,2010,10.989456,-74.790022,1,4
P0357,1100357,1,2010,6.369257,-72.703438,2,6
P0358,1100358,1,2010,8.119133,-75.397066,2,9
P0359,1100359,1,2010,6.293585,-75.68226,1,2
P0360,1100360,1,2010,6.286993,-75.514214,1,2
P0361,1100361,1,2010,5.215205,-72.996108,2,6
P0362,1100362,1,2010,3.811878,-74.499168,2,1
P0364,1100364,1,2010,4.676704,-74.054393,1,1
P0365,1100365,1,2010,10.92302,-74.8563,1,4
P0366,1100366,1,2010,3.52584,-76.455116,1,3
P0367,1100367,1,2010,8.735958,-75.909695,2,9
P0369,1100369,1,2010,3.654502,-74.393572,2,1
P0370,1100370,1,2010,3.490145,-76.487634,1,3
P0371,1100371,1,2010,10.952687,-74.81352,1,4
P0372,1100372,1,2010,10.967722,-74.834186,1,4
P0373,1100373,1,2010,4.688284,-74.058385,1,1
P0374,1100374,1,2010,3.497195,-76.47547,1,3
P0375,1100375,1,2010,7.252287,-75.788606,2,7
P0376,1100376,1,2010,1.947733,-77.272484,2,8
P0377,1100377,1,2010,6.167144,-75.59681,1,2
P0379,1100379,1,2010,7.001056,-75.574628,2,7
P0380,1100380,1,2010,10.969706,-74.737985,1,4
P0381,1100381,1,2010,4.666565,-74.114954,1,1
P0382,1100382,1,2010,7.105347,-75.495097,2,7
P0383,1100383,1,2010,6.296554,-75.564014,1,2
P0384,1100384,1,2010,3.454155,-76.503588,1,3
P0385,1100385,1,2010,5.315809,-72.824244,2,6
P0386,1100386,1,2010,10.342515,-75.484232,1,5
P0387,1100387,1,2010,6.932644,-75.035332,2,7
P0388,1100388,1,2010,4.395345,-74.436547,2,1
P0389,1100389,1,2010,6.140048,-75.529007,1,2
P0390,1100390,1,2010,4.756251,-74.090602,1,1
P0391,1100391,1,2010,6.234349,-75.637395,1,2
P0392,1100392,1,2010,5.895649,-72.909548,2,6
P0394,1100394,1,2010,4.470559,-74.412888,2,1
P0395,1100395,1,2010,11.037736,-74.83369,1,4
P0396,1100396,1,2010,4.754072,-74.131318,1,1
P0397,1100397,1,2010,6.253937,-75.565581,1,2
P0398,1100398,1,2010,3.433781,-74.650386,2,1
P0399,1100399,1,2010,10.971817,-74.716189,1,4
P0401,1100401,1,2010,6.007099,-73.290948,2,6
P0402,1100402,1,2010,6.29733,-75.607161,1,2
P0404,1100404,1,2010,6.191984,-75.581353,1,2
P0405,1100405,1,2010,1.552377,-77.061461,2,8
P0407,1100407,1,2010,4.580978,-74.127691,1,1
P0408,1100408,1,2010,3.438391,-76.530261,1,3
P0409,1100409,1,2010,4.69611,-74.059008,1,1
P0410,1100410,1,2010,8.572284,-75.559518,2,9
P0411,1100411,1,2010,10.906452,-74.883435,1,4
P0412,1100412,1,2010,4.66289,-74.134528,1,1
P0413,1100413,1,2010,3.525777,-76.452727,1,3
P0414,1100414,1,2010,3.395786,-76.586452,1,3
P0415,1100415,1,2010,5.790854,-72.965799,2,6
P0416,1100416,1,2010,4.360367,-74.874133,2,1
P0417,1100417,1,2010,3.452195,-76.503046,1,3
P0418,1100418,1,2010,7.111263,-75.535613,2,7
P0419,1100419,1,2010,8.791276,-75.19916,2,9
P0420,1100420,1,2010,4.311055,-74.648935,2,1
P0421,1100421,1,2010,4.687532,-73.938134,1,1
P0423,1100423,1,2010,4.729457,-73.942991,1,1
P0424,1100424,1,2010,4.7826,-74.071378,1,1
P0425,1100425,1,2010,1.52281,-77.463671,2,8
P0426,1100426,1,2010,1.198888,-77.591357,2,8
P0427,1100427,1,2010,7.055541,-76.122025,2,7
P0428,1100428,1,2010,10.40216,-75.502482,1,5
P0429,1100429,1,2010,4.19563,-74.755353,2,1
P0430,1100430,1,2010,6.131259,-75.577566,1,2
P0431,1100431,1,2010,3.419682,-76.62306,1,3
P0434,1100434,1,2010,8.352368,-75.60104,2,9
P0436,1100436,1,2010,10.369217,-75.497446,1,5
P0437,1100437,1,2010,1.784947,-77.562316,2,8
P0438,1100438,1,2010,10.901801,-74.762951,1,4
P0439,1100439,1,2010,6.362953,-75.529156,1,2
P0440,1100440,1,2010,3.474117,-76.454116,1,3
P0441,1100441,1,2010,3.448818,-76.515076,1,3
P0442,1100442,1,2010,4.579449,-73.988036,1,1
P0443,1100443,1,2010,4.632007,-74.028104,1,1
P0444,1100444,1,2010,10.417672,-75.459554,1,5
P0447,1100447,1,2010,10.389726,-75.591458,1,5
P0448,1100448,1,2010,3.98241,-74.422761,2,1
P0449,1100449,1,2010,6.355927,-75.632896,1,2
P0450,1100450,1,2010,10.866318,-74.805574,1,4
P0451,1100451,1,2010,10.952457,-74.705432,1,4
P0452,1100452,1,2010,6.926809,-76.51353,2,7
P0453,1100453,1,2010,6.947157,-75.505285,2,7
P0455,1100455,1,2010,7.191039,-75.93699,2,7
P0456,1100456,1,2010,8.360645,-75.311249,2,9
P0457,1100457,1,2010,10.384199,-75.441924,1,5
P0458,1100458,1,2010,6.282305,-75.66102,1,2
P0459,1100459,1,2010,6.185062,-72.94529,2,6
P0460,1100460,1,2010,10.8943,-74.792952,1,4
P0461,1100461,1,2010,4.151637,-74.197569,2,1
P0462,1100462,1,2010,10.345616,-75.491146,1,5
P0463,1100463,1,2010,1.183924,-77.753811,2,8
P0464,1100464,1,2010,10.372095,-75.535327,1,5
P0465,1100465,1,2010,4.671675,-74.006095,1,1
P0467,1100467,1,2010,11.024043,-74.91139,1,4
P0468,1100468,1,2010,3.462317,-76.581734,1,3
P0469,1100469,1,2010,4.665996,-73.996493,1,1
P0470,1100470,1,2010,8.408594,-75.675849,2,7
P0472,1100472,1,2010,8.581607,-75.708929,2,9
P0473,1100473,1,2010,5.811506,-73.197097,2,6
P0474,1100474,1,2010,10.956209,-74.803992,1,4
P0475,1100475,1,2010,10.318623,-75.473529,1,5
P0476,1100476,1,2010,8.44624,-75.797863,2,9
P0479,1100479,1,2010,10.878505,-74.775806,1,4
P0480,1100480,1,2010,3.411956,-76.60457,1,3
P0481,1100481,1,2010,6.215811,-75.572468,1,2
P0483,1100483,1,2010,4.036203,-74.744958,2,1
P0485,1100485,1,2010,4.704567,-74.080407,1,1
P0486,1100486,1,2010,4.774849,-74.131945,1,1
P0487,1100487,1,2010,10.426883,-75.533413,1,5
P0489,1100489,1,2010,3.570448,-76.462879,1,3
P0491,1100491,1,2010,10.971055,-74.824064,1,4
P0493,1100493,1,2010,4.530452,-74.046883,1,1
P0494,1100494,1,2010,1.476928,-77.298068,2,8
P0495,1100495,1,2010,6.150929,-75.57081,1,2
P0496,1100496,1,2010,4.152823,-74.617851,2,1
P0497,1100497,1,2010,4.685524,-74.251418,1,1
P0498,1100498,1,2010,2.231317,-77.379472,2,8
P0499,1100499,1,2010,1.872644,-77.292052,2,8
P0500,1100500,1,2010,1.389906,-77.587545,2,8
P0501,1100501,1,2010,3.471576,-76.478431,1,3
P0502,1100502,1,2010,6.302614,-75.650654,1,2
P0503,1100503,1,2010,5.870523,-72.770032,2,6
P0504,1100504,1,2010,4.716655,-74.172623,1,1
P0505,1100505,1,2010,8.742564,-75.698277,2,9
P0506,1100506,1,2010,5.860098,-72.446913,2,6
P0507,1100507,1,2010,6.682843,-75.438805,2,7
P0508,1100508,1,2010,1.612835,-77.685861,2,8
P0509,1100509,1,2010,8.776615,-75.250352,2,9
P0510,1100510,1,2010,1.904136,-77.399633,2,8
P0512,1100512,1,2010,6.696167,-75.231868,2,7
P0513,1100513,1,2010,6.189133,-75.572002,1,2
P0514,1100514,1,2010,3.467332,-76.551988,1,3
P0515,1100515,1,2010,11.026826,-74.824695,1,4
P0516,1100516,1,2010,10.442674,-75.564621,1,5
P0517,1100517,1,2010,6.27109,-75.559259,1,2
P0518,1100518,1,2010,10.929017,-74.908093,1,4
P0519,1100519,1,2010,3.457488,-76.493267,1,3
P0520,1100520,1,2010,4.527207,-74.093386,1,1
P0521,1100521,1,2010,4.628852,-74.009609,1,1
P0522,1100522,1,2010,4.853779,-73.939633,1,1
P0523,1100523,1,2010,5.461861,-73.011366,2,6
P0524,1100524,1,2010,5.770477,-72.993513,2,6
P0525,1100525,1,2010,10.9335,-74.879101,1,4
P0526,1100526,1,2010,8.171785,-75.884959,2,9
P0528,1100528,1,2010,4.558298,-73.914882,1,1
P0529,1100529,1,2010,6.215589,-75.566456,1,2
P0531,1100531,1,2010,4.652153,-74.124769,1,1
P0532,1100532,1,2010,8.537152,-74.975381,2,9
P0533,1100533,1,2010,8.238177,-75.484812,2,9
P0534,1100534,1,2010,4.055736,-74.485666,2,1
P0535,1100535,1,2010,6.529194,-75.393869,2,7
P0536,1100536,1,2010,3.441695,-76.451849,1,3
P0537,1100537,1,2010,3.814033,-74.512675,2,1
P0538,1100538,1,2010,1.322534,-77.528668,2,8
P0539,1100539,1,2010,10.911282,-74.851387,1,4
P0540,1100540,1,2010,3.642961,-74.797458,2,1
P0541,1100541,1,2010,8.237735,-75.535671,2,9
P0542,1100542,1,2010,3.389495,-76.454499,1,3
P0543,1100543,1,2010,6.280589,-75.554473,1,2
P0544,1100544,1,2010,4.630396,-74.070583,1,1
P0545,1100545,1,2010,1.470336,-77.322001,2,8
P0546,1100546,1,2010,3.359271,-76.506434,1,3
P0547,1100547,1,2010,4.225636,-74.337004,2,1
P0548,1100548,1,2010,10.372412,-75.493516,1,5
P0549,1100549,1,2010,4.750798,-73.993337,1,1
P0550,1100550,1,2010,4.050207,-74.534143,2,1
P0551,1100551,1,2010,3.485538,-76.562367,1,3
P0552,1100552,1,2010,7.246532,-75.50427,2,7
P0553,1100553,1,2010,6.222643,-75.545645,1,2
P0554,1100554,1,2010,3.438271,-76.517669,1,3
P0555,1100555,1,2010,6.298584,-73.434542,2,6
P0556,1100556,1,2010,6.246593,-75.525048,1,2
P0557,1100557,1,2010,7.488295,-75.736247,2,7
P0558,1100558,1,2010,5.849175,-72.663472,2,6
P0559,1100559,1,2010,6.250028,-75.607158,1,2
P0560,1100560,1,2010,3.433586,-76.490281,1,3
P0561,1100561,1,2010,6.723577,-74.651319,2,7
P0562,1100562,1,2010,6.14031,-75.646868,1,2
P0563,1100563,1,2010,4.656745,-74.072107,1,1
P0564,1100564,1,2010,6.281532,-75.583063,1,2
P0565,1100565,1,2010,4.490181,-74.000232,1,1
P0566,1100566,1,2010,8.642878,-75.269612,2,9
P0568,1100568,1,2010,4.686103,-73.970727,1,1
P0569,1100569,1,2010,11.006106,-74.714067,1,4
P0570,1100570,1,2010,4.49845,-74.363367,2,1
P0571,1100571,1,2010,4.061319,-74.429103,2,1
P0572,1100572,1,2010,6.76341,-75.31735,2,7
P0573,1100573,1,2010,4.806135,-74.113679,1,1
P0574,1100574,1,2010,7.431958,-75.293962,2,7
P0575,1100575,1,2010,6.282495,-75.484115,1,2
P0576,1100576,1,2010,6.214314,-75.49806,1,2
P0577,1100577,1,2010,5.657949,-73.469157,2,6
