consecutivo,ola,zona_archivo,zona,region,t_hogar,t_personas,es_split,lat_decimal,lon_decimal,coord_valida_ola,hogar,llave,zona_2010,RegionLb,hogar_n16,llave_n16,zona_2016,region_2016,cambio_residencia_ola
121503,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
121506,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
121508,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
121509,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
121510,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
121511,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
121512,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
121513,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
121514,2010,rural,Rural,Eje Cafetero,1,2,0,,,,,,,,,,,,
121515,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
121516,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
121517,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
121518,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
121519,2010,rural,Rural,Eje Cafetero,2,4,0,,,,,,,,,,,,
121520,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
121521,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
121522,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
121523,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
121524,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
121525,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
121526,2010,rural,Rural,Eje Cafetero,1,6,0,,,,,,,,,,,,
121527,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
121528,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
121529,2010,rural,Rural,Eje Cafetero,1,6,0,,,,,,,,,,,,
121530,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
121531,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
121532,2010,rural,Rural,Eje Cafetero,1,2,0,,,,,,,,,,,,
121533,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
121534,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
121535,2010,rural,Rural,Eje Cafetero,1,7,0,,,,,,,,,,,,
121536,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
121537,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
121538,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
121540,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
121541,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
121542,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
121543,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
121544,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
121545,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
121546,2010,rural,Rural,Eje Cafetero,1,2,0,,,,,,,,,,,,
121547,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
121548,2010,rural,Rural,Eje Cafetero,1,2,0,,,,,,,,,,,,
121549,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
121550,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
121551,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
121552,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
121553,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
121554,2010,rural,Rural,Eje Cafetero,1,7,0,,,,,,,,,,,,
121555,2010,rural,Rural,Eje Cafetero,1,6,0,,,,,,,,,,,,
121556,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
121557,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
121558,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
121559,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
121560,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
122115,2010,rural,Rural,Eje Cafetero,1,7,0,,,,,,,,,,,,
122116,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
122117,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
122118,2010,rural,Rural,Eje Cafetero,1,2,0,,,,,,,,,,,,
122119,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
122120,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
122121,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
122122,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
122123,2010,rural,Rural,Eje Cafetero,1,6,0,,,,,,,,,,,,
122125,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
122126,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
122127,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
122128,2010,rural,Rural,Eje Cafetero,4,2,0,,,,,,,,,,,,
122129,2010,rural,Rural,Eje Cafetero,1,6,0,,,,,,,,,,,,
122130,2010,rural,Rural,Eje Cafetero,1,6,0,,,,,,,,,,,,
122131,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
122132,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
122133,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
122134,2010,rural,Rural,Eje Cafetero,1,7,0,,,,,,,,,,,,
122135,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
122136,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
122137,2010,rural,Rural,Eje Cafetero,1,6,0,,,,,,,,,,,,
122138,2010,rural,Rural,Eje Cafetero,1,2,0,,,,,,,,,,,,
122139,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
122140,2010,rural,Rural,Eje Cafetero,1,7,0,,,,,,,,,,,,
122141,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
122142,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
122200,2010,rural,Rural,Eje Cafetero,1,7,0,,,,,,,,,,,,
122201,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
122202,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
122203,2010,rural,Rural,Eje Cafetero,2,3,0,,,,,,,,,,,,
122204,2010,rural,Rural,Eje Cafetero,1,2,0,,,,,,,,,,,,
122205,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
122206,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
122207,2010,rural,Rural,Eje Cafetero,1,12,0,,,,,,,,,,,,
122208,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
122209,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
122210,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
122211,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
122212,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
122213,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
122214,2010,rural,Rural,Eje Cafetero,1,6,0,,,,,,,,,,,,
122215,2010,rural,Rural,Eje Cafetero,1,6,0,,,,,,,,,,,,
122216,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
122217,2010,rural,Rural,Eje Cafetero,1,6,0,,,,,,,,,,,,
122219,2010,rural,Rural,Eje Cafetero,3,4,0,,,,,,,,,,,,
122220,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
122221,2010,rural,Rural,Eje Cafetero,1,2,0,,,,,,,,,,,,
122222,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
122223,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
122224,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
122225,2010,rural,Rural,Eje Cafetero,2,4,0,,,,,,,,,,,,
122226,2010,rural,Rural,Eje Cafetero,1,8,0,,,,,,,,,,,,
122228,2010,rural,Rural,Eje Cafetero,3,5,0,,,,,,,,,,,,
122229,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
122230,2010,rural,Rural,Eje Cafetero,2,4,0,,,,,,,,,,,,
122231,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
122232,2010,rural,Rural,Eje Cafetero,2,3,0,,,,,,,,,,,,
122233,2010,rural,Rural,Eje Cafetero,2,4,0,,,,,,,,,,,,
122234,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
122235,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
122236,2010,rural,Rural,Eje Cafetero,1,9,0,,,,,,,,,,,,
122237,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
122239,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
122240,2010,rural,Rural,Eje Cafetero,1,8,0,,,,,,,,,,,,
122241,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
122242,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
122243,2010,rural,Rural,Eje Cafetero,1,2,0,,,,,,,,,,,,
122244,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
122245,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
122247,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
122248,2010,rural,Rural,Eje Cafetero,2,3,0,,,,,,,,,,,,
122249,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
122250,2010,rural,Rural,Eje Cafetero,1,6,0,,,,,,,,,,,,
122251,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
122253,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
122254,2010,rural,Rural,Eje Cafetero,1,2,0,,,,,,,,,,,,
122255,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
122256,2010,rural,Rural,Eje Cafetero,1,2,0,,,,,,,,,,,,
122257,2010,rural,Rural,Eje Cafetero,1,8,0,,,,,,,,,,,,
122258,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
122259,2010,rural,Rural,Eje Cafetero,1,9,0,,,,,,,,,,,,
122260,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
122261,2010,rural,Rural,Eje Cafetero,2,4,0,,,,,,,,,,,,
122262,2010,rural,Rural,Eje Cafetero,1,7,0,,,,,,,,,,,,
122263,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
122264,2010,rural,Rural,Eje Cafetero,1,6,0,,,,,,,,,,,,
122265,2010,rural,Rural,Eje Cafetero,1,2,0,,,,,,,,,,,,
122266,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
122267,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
122268,2010,rural,Rural,Eje Cafetero,1,6,0,,,,,,,,,,,,
122269,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
122270,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
122271,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
122272,2010,rural,Rural,Eje Cafetero,1,6,0,,,,,,,,,,,,
122500,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
122501,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
122502,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
122503,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
122504,2010,rural,Rural,Eje Cafetero,1,2,0,,,,,,,,,,,,
122505,2010,rural,Rural,Eje Cafetero,1,2,0,,,,,,,,,,,,
122506,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
122507,2010,rural,Rural,Eje Cafetero,1,2,0,,,,,,,,,,,,
122509,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
122510,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
122511,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
122512,2010,rural,Rural,Eje Cafetero,1,2,0,,,,,,,,,,,,
122514,2010,rural,Rural,Eje Cafetero,1,7,0,,,,,,,,,,,,
122515,2010,rural,Rural,Eje Cafetero,1,6,0,,,,,,,,,,,,
122516,2010,rural,Rural,Eje Cafetero,1,8,0,,,,,,,,,,,,
122517,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
122518,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
122519,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
122520,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
122521,2010,rural,Rural,Eje Cafetero,1,6,0,,,,,,,,,,,,
122522,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
122523,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
122524,2010,rural,Rural,Eje Cafetero,1,6,0,,,,,,,,,,,,
122525,2010,rural,Rural,Eje Cafetero,1,7,0,,,,,,,,,,,,
122526,2010,rural,Rural,Eje Cafetero,1,2,0,,,,,,,,,,,,
122527,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
122528,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
122529,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
122530,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
122531,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
122532,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
122533,2010,rural,Rural,Eje Cafetero,1,7,0,,,,,,,,,,,,
122535,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
122536,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
122537,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
122538,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
122539,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
122540,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
122541,2010,rural,Rural,Eje Cafetero,2,2,0,,,,,,,,,,,,
122542,2010,rural,Rural,Eje Cafetero,1,2,0,,,,,,,,,,,,
122543,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
122544,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
122545,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
122546,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
122547,2010,rural,Rural,Eje Cafetero,1,2,0,,,,,,,,,,,,
122548,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
122549,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
122550,2010,rural,Rural,Eje Cafetero,1,7,0,,,,,,,,,,,,
122551,2010,rural,Rural,Eje Cafetero,1,6,0,,,,,,,,,,,,
122552,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
122553,2010,rural,Rural,Eje Cafetero,1,2,0,,,,,,,,,,,,
122554,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
122555,2010,rural,Rural,Eje Cafetero,1,2,0,,,,,,,,,,,,
122556,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
122557,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
122558,2010,rural,Rural,Eje Cafetero,1,2,0,,,,,,,,,,,,
122559,2010,rural,Rural,Eje Cafetero,1,2,0,,,,,,,,,,,,
123114,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
123115,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
123116,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
123117,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
123118,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
123119,2010,rural,Rural,Eje Cafetero,1,2,0,,,,,,,,,,,,
123120,2010,rural,Rural,Eje Cafetero,1,6,0,,,,,,,,,,,,
123121,2010,rural,Rural,Eje Cafetero,1,8,0,,,,,,,,,,,,
123122,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
123123,2010,rural,Rural,Eje Cafetero,1,2,0,,,,,,,,,,,,
123125,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
123126,2010,rural,Rural,Eje Cafetero,4,3,0,,,,,,,,,,,,
123127,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
123128,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
123129,2010,rural,Rural,Eje Cafetero,1,2,0,,,,,,,,,,,,
123130,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
123131,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
123132,2010,rural,Rural,Eje Cafetero,1,6,0,,,,,,,,,,,,
123133,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
123134,2010,rural,Rural,Eje Cafetero,1,2,0,,,,,,,,,,,,
123135,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
123136,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
123137,2010,rural,Rural,Eje Cafetero,1,2,0,,,,,,,,,,,,
123138,2010,rural,Rural,Eje Cafetero,1,6,0,,,,,,,,,,,,
123139,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
123200,2010,rural,Rural,Eje Cafetero,1,2,0,,,,,,,,,,,,
123201,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
123202,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
123203,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
123204,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
123205,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
123206,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
123207,2010,rural,Rural,Eje Cafetero,1,2,0,,,,,,,,,,,,
123208,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
123209,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
123210,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
123211,2010,rural,Rural,Eje Cafetero,1,4,0,,,,,,,,,,,,
123212,2010,rural,Rural,Eje Cafetero,1,2,0,,,,,,,,,,,,
123213,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
123214,2010,rural,Rural,Eje Cafetero,1,2,0,,,,,,,,,,,,
123215,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
123216,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
123217,2010,rural,Rural,Eje Cafetero,1,2,0,,,,,,,,,,,,
123218,2010,rural,Rural,Eje Cafetero,2,5,0,,,,,,,,,,,,
123219,2010,rural,Rural,Eje Cafetero,1,2,0,,,,,,,,,,,,
123220,2010,rural,Rural,Eje Cafetero,1,6,0,,,,,,,,,,,,
123221,2010,rural,Rural,Eje Cafetero,1,3,0,,,,,,,,,,,,
123222,2010,rural,Rural,Eje Cafetero,1,6,0,,,,,,,,,,,,
123223,2010,rural,Rural,Eje Cafetero,1,5,0,,,,,,,,,,,,
