id_panel,consecutivo,latitud,longitud,zona,region
P0210,2130202,10.926393,-74.753029,1,4
P0211,2130203,10.928944,-74.715252,1,4
P0212,2130204,1.883657,-77.538486,2,8
P0213,2130205,4.139131,-74.090669,2,1
P0214,2130206,6.304127,-75.670780,1,2
P0215,2130207,6.019648,-73.259412,2,6
P0216,2130208,3.770525,-74.533285,2,1
P0217,2130209,1.186162,-77.464621,2,8
P0218,2130210,8.010719,-75.628342,2,9
P0219,2130211,3.447523,-73.919386,2,1
P0220,2130212,3.366116,-76.472763,1,3
P0221,2130213,4.671635,-74.199757,1,1
P0222,2130214,"1°32'43.80""N","77°09'47.26""E",2,8
P0223,2130215,1.423655,-77.371912,2,8
P0225,2130216,4.629474,-74.116976,1,1
P0226,2130217,8.173468,-75.970254,2,9
P0228,2130218,4.651436,-74.106950,1,1
P0229,2130219,4.670529,-73.919472,1,1
P0230,2130220,4.541115,-73.928528,1,1
P0231,2130221,6.582329,-75.140865,2,7
P0232,2130222,4.217100,-74.581394,2,1
P0233,2130223,4.697307,-73.904978,1,1
P0234,2130224,6.299193,-75.525340,1,2
P0235,2130225,8.453596,-75.933286,2,9
P0236,2130226,3.344817,-76.554963,1,3
P0237,2130227,6.993459,-75.098558,2,7
P0238,2130228,11.018322,-74.842590,1,4
P0239,2130229,6.263514,-75.506335,1,2
P0240,2130230,7.012736,-75.782323,2,7
P0241,2130231,5.338863,-72.760792,2,6
P0242,2130232,10.972537,-74.830752,1,4
P0243,2130233,3.477763,-76.546694,1,3
P0244,2130234,10.937382,-74.772344,1,4
P0245,2130235,5.783290,-73.163744,2,6
P0246,2130236,10.352655,-75.499853,1,5
P0247,2130237,3.913718,-74.573204,2,1
P0248,2130238,1.377452,,2,8
P0249,2130239,8.347870,,2,9
P0250,2130240,4.598382,-74.194209,1,1
P0251,2130241,,,1,1
P0252,2130242,4.667786,-74.181949,1,1
P0253,2130243,8.239906,-75.843890,2,9
P0255,2130244,10.893383,-74.800061,1,4
P0256,2130245,10.913935,-74.746679,1,4
P0257,2130246,4.646734,-74.154892,1,1
P0258,2130247,6.872879,-75.346837,2,7
P0259,2130248,6.233205,-75.553988,1,2
P0260,2130249,6.116807,-75.721246,2,7
P0261,2130250,6.126076,-75.563737,1,2
P0262,2130251,4.159255,-74.451833,2,1
P0263,2130252,6.234404,-75.596768,1,2
P0264,2130253,3.418990,,1,3
P0265,2130254,3.440772,-76.521647,1,3
P0266,2130255,6.265610,-75.537948,1,2
P0267,2130256,7.107692,-75.184500,2,7
P0268,2130257,3.447785,-76.452413,1,3
P0269,2130258,3.759620,-74.888882,2,1
P0270,2130259,,,1,3
P0272,2130260,14.48498,-75.539875,1,2
P0273,2130261,6.428677,-75.508873,2,7
P0274,2130262,4.600492,-73.926755,1,1
P0275,2130263,4.481142,-74.056931,1,1
P0276,2130264,6.180476,-75.427525,1,2
P0277,2130265,6.279484,-75.449586,1,2
P0278,2130266,4.623662,-74.044878,1,1
P0279,2130267,4.603409,-74.032351,1,1
P0280,2130268,,-75.395500,2,7
P0281,2130269,6.275500,-75.635509,1,2
P0282,2130270,3.445469,-76.493778,1,3
P0283,2130271,4.627014,-74.189949,1,1
P0284,2130272,6.205488,-75.668536,1,2
P0285,2130273,6.009528,-73.309114,2,6
P0286,2130274,4.522377,-73.911043,1,1
P0287,2130275,1.771212,-77.039216,2,8
P0288,2130276,4.619405,74.050169,1,1
P0289,2130277,6.589123,-75.559986,2,7
P0290,2130278,7.357568,-75.028447,2,7
P0291,2130279,10.395070,-75.447531,1,5
P0292,2130280,6.244543,-75.603603,1,2
P0293,2130281,3.446445,-76.521905,1,3
P0294,2130282,0.000000,0.000000,1,1
P0295,2130283,6.097157,-72.597445,2,6
P0296,2130284,8.270228,-75.131277,2,9
P0297,2130285,4.455567,-74.144330,1,1
P0298,2130286,1.262943,-77.785008,2,8
P0299,2130287,3.817893,-73.808182,2,1
P0300,2130288,1.715473,-77.380492,2,8
P0301,2130289,4.573638,-74.191859,1,1
P0302,2130290,4.563554,-74.133376,1,1
P0303,2130291,4.686025,-74.183625,1,1
P0304,2130292,,,1,4
P0305,2130293,8.652275,-76.143232,2,9
P0306,2130294,10.975328,-74.858373,1,4
P0307,2130295,4.655358,-73.966954,1,1
P0309,2130296,10.954839,-74.845319,1,4
P0310,2130297,4.783136,-74.253254,1,1
P0311,2130298,6.018912,-73.197935,2,6
P0312,2130299,10.390310,-75.502333,1,5
P0313,2130300,"10°54'11.46""N","74°43'31.22""E",1,4
P0314,2130301,6.222298,-75.576624,1,2
P0315,2130302,6.241850,-75.641901,1,2
P0316,2130303,4.734159,-74.070757,1,1
P0317,2130304,,-74.804180,1,4
P0318,2130305,8.482570,75.901542,2,9
P0319,2130306,4.654801,-74.043174,1,1
P0320,2130307,1.728725,-77.112751,2,8
P0321,2130308,,,1,1
P0323,2130309,"4°28'29.81""N","74°13'58.70""E",1,1
P0324,2130310,,-75.728972,2,9
P0325,2130311,1.610973,-77.243157,2,8
P0326,2130312,8.558778,-75.950989,2,9
P0327,2130313,6.186721,75.547689,1,2
P0328,2130314,4.722163,-74.168924,1,1
P0329,2130315,0.000000,0.000000,1,3
P0330,2130316,1.514948,-78.017427,2,8
P0331,2130317,8.414452,-75.392320,2,9
P0332,2130318,6.240949,-75.521590,1,2
P0333,2130319,6.886003,-75.691010,2,7
P0334,2130320,4.651630,74.147519,1,1
P0335,2130321,4.651635,-74.151712,1,1
P0336,2130322,4.637277,-74.091592,1,1
P0337,2130323,3.390012,-76.480238,1,3
P0338,2130324,4.664306,-73.996638,1,1
P0339,2130325,10.927254,-74.756955,1,4
P0340,2130326,5.966957,-73.031846,2,6
P0341,2130327,8.767336,-75.486969,2,9
P0342,2130328,4.497523,-74.185182,1,1
P0343,2130329,5.593994,73.216436,2,6
P0344,2130330,4.503061,-74.011454,1,1
P0345,2130331,4.561791,-74.168808,1,1
P0346,2130332,10.350891,-75.512319,1,5
P0347,2130333,4.766144,-74.115665,1,1
P0348,2130334,6.229716,-75.424095,1,2
P0349,2130335,6.182713,-75.610180,1,2
P0351,2130336,4.776371,-74.080609,1,1
P0352,2130337,1.574715,-77.456934,2,8
P0353,2130338,4.623001,-74.124523,1,1
P0354,2130339,6.934870,-75.505869,2,7
P0355,2130340,4.676207,-74.016789,1,1
P0356,2130341,10.988993,-74.790177,1,4
P0357,2130342,6.369804,-72.703602,2,6
P0358,2130343,8.152282,-75.365174,2,9
P0359,2130344,6.335656,-75.627692,1,2
P0360,2130345,6.284766,-75.580369,1,2
P0361,2130346,5.214933,-72.996299,2,6
P0362,2130347,3.877518,-74.528839,2,1
P0363,2130348,8.761959,-75.648723,2,9
P0364,2130349,4.676588,-74.054006,1,1
P0365,2130350,10.870139,-74.818065,1,4
P0366,2130351,3.525912,-76.455020,1,3
P0367,2130352,8.736085,-75.909995,2,9
P0368,2130353,6.181109,-75.490891,1,2
P0369,2130354,3.624449,-74.352079,2,1
P0370,2130355,3.490226,-76.487335,1,3
P0371,2130356,10.952639,-74.813879,1,4
P0372,2130357,10.967573,-74.834018,1,4
P0374,2130358,3.496895,-76.475428,1,3
P0375,2130359,7.252178,-75.788900,2,7
P0376,2130360,1.948148,-77.272419,2,8
P0377,2130361,6.167502,-75.597331,1,2
P0378,2130362,10.406236,-75.537362,1,5
P0379,2130363,7.000453,-75.574698,2,7
P0380,2130364,10.969737,-74.737963,1,4
P0381,2130365,4.666771,-74.114419,1,1
P0383,2130366,6.296837,-75.564450,1,2
P0384,2130367,3.454080,-76.503691,1,3
P0385,2130368,5.316092,-72.824700,2,6
P0386,2130369,10.342906,-75.484181,1,5
P0387,2130370,13.78065,-75.035356,2,7
P0388,2130371,4.395065,-74.436696,2,1
P0389,2130372,6.140105,-75.528891,1,2
P0390,2130373,4.755980,74.090508,1,1
P0391,2130374,6.234153,-75.637262,1,2
P0392,2130375,5.929863,-72.869788,2,6
P0393,2130376,10.899761,-74.845278,1,4
P0394,2130377,4.470617,-74.413567,2,1
P0395,2130378,11.032576,-74.829489,1,4
P0396,2130379,4.753771,-74.131371,1,1
P0398,2130380,3.433911,-74.650315,2,1
P0399,2130381,10.971998,-74.716439,1,4
P0400,2130382,7.378413,-75.312971,2,7
P0401,2130383,6.007560,-73.290743,2,6
P0402,2130384,6.264453,,1,2
P0403,2130385,7.200864,-75.886923,2,7
P0404,2130386,6.192009,-75.581464,1,2
P0405,2130387,1.552246,-77.061446,2,8
P0406,2130388,3.501366,76.473574,1,3
P0407,2130389,4.585489,-74.106686,1,1
P0408,2130390,3.437867,-76.529772,1,3
P0409,2130391,4.648274,-74.083310,1,1
P0410,2130392,8.572511,-75.559537,2,9
P0411,2130393,10.906345,-74.883541,1,4
P0412,2130394,4.662831,-74.134186,1,1
P0413,2130395,3.525669,-76.452941,1,3
P0414,2130396,3.419752,-76.619658,1,3
P0416,2130397,4.360177,-74.873907,2,1
P0417,2130398,0.000000,0.000000,1,3
P0418,2130399,7.080530,-75.582747,2,7
P0419,2130400,8.791078,-75.198650,2,9
P0420,2130401,4.311604,-74.648563,2,1
P0421,2130402,4.687328,73.938282,1,1
P0422,2130403,10.973380,-74.762171,1,4
P0423,2130404,4.729254,-73.942713,1,1
P0424,2130405,4.782044,-74.070596,1,1
P0425,2130406,1.522919,-77.463772,2,8
P0426,2130407,1.199228,-77.590951,2,8
P0427,2130408,7.055502,-76.121514,2,7
P0428,2130409,10.402238,-75.502377,1,5
P0430,2130410,6.131144,-75.577356,1,2
P0431,2130411,13.13724,-76.623049,1,3
P0432,2130412,1.236587,-77.891365,2,8
P0433,2130413,6.114988,-75.522819,1,2
P0434,2130414,,,2,9
P0435,2130415,4.685910,-74.158493,1,1
P0436,2130416,10.369103,-75.497480,1,5
P0438,2130417,10.902255,-74.763394,1,4
P0439,2130418,,,1,2
P0440,2130419,3.474042,-76.453932,1,3
P0441,2130420,,-76.515121,1,3
P0442,2130421,4.518381,-73.968077,1,1
P0443,2130422,4.585893,-73.980500,1,1
P0445,2130423,6.874017,-75.490779,2,7
P0446,2130424,,,1,3
P0447,2130425,10.386524,-75.569232,1,5
P0448,2130426,3.960184,-74.484139,2,1
P0449,2130427,6.356430,-75.633021,1,2
P0450,2130428,10.866234,-74.805353,1,4
P0451,2130429,10.952763,-74.705647,1,4
P0452,2130430,6.926447,-76.512791,2,7
P0453,2130431,6.947203,-75.505538,2,7
P0454,2130432,11.046605,-74.786514,1,4
P0455,2130433,7.191779,-75.936872,2,7
P0456,2130434,8.388231,-75.330159,2,9
P0457,2130435,10.402067,-75.507751,1,5
P0458,2130436,6.282899,-75.660615,1,2
P0459,2130437,6.185193,-72.945156,2,6
P0460,2130438,10.893862,-74.792775,1,4
P0461,2130439,0.000000,0.000000,2,1
P0462,2130440,,,1,5
P0464,2130441,10.372159,-75.536188,1,5
P0465,2130442,4.663767,-74.069394,1,1
P0466,2130443,"10°25'54.87""N","75°29'20.74""E",1,5
P0467,2130444,11.024349,-74.911333,1,4
P0468,2130445,,,1,3
P0469,2130446,4.666205,-73.995993,1,1
P0470,2130447,8.408824,-75.675988,2,7
P0471,2130448,,,2,1
P0472,2130449,8.581069,-75.708893,2,9
P0474,2130450,,,1,4
P0475,2130451,10.318225,-75.473295,1,5
P0476,2130452,8.446181,-75.797972,2,9
P0477,2130453,6.219259,-75.515053,1,2
P0478,2130454,0.876391,-77.434890,2,8
P0479,2130455,10.880067,-74.811295,1,4
P0480,2130456,3.382730,-76.576567,1,3
P0481,2130457,13.2835,-75.562372,1,2
P0482,2130458,10.393660,-75.538594,1,5
P0483,2130459,4.035520,-74.744546,2,1
P0484,2130460,0.000000,0.000000,1,3
P0485,2130461,4.704394,-74.080421,1,1
P0486,2130462,4.774348,-74.131354,1,1
P0487,2130463,10.426839,-75.533179,1,5
P0488,2130464,4.754156,-74.125744,1,1
P0489,2130465,3.570554,-76.462666,1,3
P0490,2130466,4.139950,-74.336555,2,1
P0491,2130467,10.971578,-74.824135,1,4
P0492,2130468,5.986934,-72.425297,2,6
P0493,2130469,4.530823,-74.047527,1,1
P0494,2130470,1.477167,-77.298122,2,8
P0495,2130471,6.151251,-75.570848,1,2
P0496,2130472,4.152715,-74.617734,2,1
P0497,2130473,4.685073,-74.251460,1,1
P0498,2130474,2.231476,-77.380068,2,8
P0499,2130475,1.866263,-77.266213,2,8
P0500,2130476,1.384834,-77.588537,2,8
P0501,2130477,3.471270,-76.477745,1,3
P0502,2130478,6.302453,-75.650631,1,2
P0503,2130479,5.869961,-72.770064,2,6
P0504,2130480,4.716678,-74.172608,1,1
P0505,2130481,8.742692,-75.698362,2,9
P0506,2130482,5.860620,-72.446913,2,6
P0507,2130483,"6°40'57.67""N","75°26'19.58""E",2,7
P0508,2130484,1.612839,-77.685774,2,8
P0509,2130485,8.776437,-75.250436,2,9
P0510,2130486,1.904034,-77.399262,2,8
P0511,2130487,6.233543,-75.507157,1,2
P0512,2130488,6.696081,-75.231778,2,7
P0513,2130489,6.189306,75.572194,1,2
P0514,2130490,3.467458,-76.552422,1,3
P0515,2130491,11.026935,-74.824396,1,4
P0516,2130492,10.442890,-75.564164,1,5
P0517,2130493,6.271057,-75.558884,1,2
P0518,2130494,10.928513,74.908031,1,4
P0519,2130495,,,1,3
P0520,2130496,4.527044,-74.093536,1,1
P0521,2130497,4.628789,-74.009567,1,1
P0522,2130498,4.853796,-73.939423,1,1
P0523,2130499,5.461968,-73.011782,2,6
P0524,2130500,5.770566,-72.993828,2,6
P0525,2130501,10.933767,-74.879151,1,4
P0526,2130502,8.171041,-75.885299,2,9
P0527,2130503,4.564076,-74.072754,1,1
P0528,2130504,4.558904,-73.914715,1,1
P0529,2130505,,,1,2
P0530,2130506,,,2,1
P0531,2130507,4.652665,74.124501,1,1
P0532,2130508,8.546139,-74.968590,2,9
P0533,2130509,8.212146,-75.465175,2,9
P0534,2130510,4.055852,-74.485979,2,1
P0535,2130511,6.529007,-75.393747,2,7
P0536,2130512,3.441646,-76.451872,1,3
P0537,2130513,3.814442,-74.513034,2,1
P0538,2130514,,-77.481495,2,8
P0539,2130515,10.856022,-74.856020,1,4
P0540,2130516,3.643081,-74.797520,2,1
P0541,2130517,8.237943,-75.535699,2,9
P0542,2130518,3.389128,-76.454544,1,3
P0543,2130519,6.280833,-75.554586,1,2
P0544,2130520,4.630438,-74.070293,1,1
P0545,2130521,1.470450,-77.322216,2,8
P0546,2130522,3.359130,-76.507017,1,3
P0547,2130523,4.225167,-74.336452,2,1
P0548,2130524,10.372444,-75.493302,1,5
P0549,2130525,4.750479,-73.993739,1,1
P0550,2130526,4.050452,-74.533769,2,1
P0551,2130527,3.485862,-76.562427,1,3
P0552,2130528,7.247457,-75.490404,2,7
P0553,2130529,6.222536,-75.545644,1,2
P0554,2130530,3.438673,-76.517244,1,3
P0555,2130531,6.298522,-73.434575,2,6
P0556,2130532,6.246493,-75.525196,1,2
P0557,2130533,7.488236,-75.736418,2,7
P0558,2130534,5.849364,-72.663232,2,6
P0559,2130535,,,1,2
P0560,2130536,3.433606,-76.490664,1,3
P0561,2130537,6.723470,-74.651072,2,7
P0562,2130538,,,1,2
P0563,2130539,4.656569,-74.072115,1,1
P0565,2130540,4.490678,-74.000158,1,1
P0566,2130541,8.642477,-75.269529,2,9
P0567,2130542,5.943159,-72.642843,2,6
P0568,2130543,"4°41'10.84""N","73°58'14.92""E",1,1
P0569,2130544,11.046156,-74.743542,1,4
P0570,2130545,4.498922,-74.363315,2,1
P0571,2130546,4.061970,-74.429184,2,1
P0572,2130547,6.763430,-75.317669,2,7
P0573,2130548,,,1,1
P0574,2130549,7.432166,-75.293656,2,7
P0575,2130550,6.282306,-75.483853,1,2
P0576,2130551,6.214085,-75.497977,1,2
P0577,2130552,,,2,6
P0578,2130553,8.226228,-75.306687,2,9
P0579,2130554,4.761453,-74.163302,1,1
P0580,2130555,3.459898,-76.585584,1,3
P0581,2130556,1.233433,-77.518726,2,8
P0582,2130557,10.445878,-75.479364,1,5
P0583,2130558,6.159234,-75.597111,1,2
P0584,2130559,4.582134,-74.249885,1,1
P0586,2130560,10.995095,-74.805557,1,4
P0587,2130561,0.000000,0.000000,2,1
P0588,2130562,4.732151,-74.042837,1,1
P0589,2130563,6.943777,-75.329008,2,7
P0590,2130564,6.913436,-75.080533,2,7
P0592,2130565,4.561606,-73.989263,1,1
P0593,2130566,10.406958,-75.501191,1,5
P0594,2130567,3.439923,-76.425473,1,3
P0595,2130568,3.362156,-74.709495,2,1
P0596,2130569,6.239718,-75.675810,1,2
P0597,2130570,,,1,5
P0598,2130571,3.383483,-76.479918,1,3
P0599,2130572,5.579988,-73.056713,2,6
P0600,2130573,1.407450,-78.145732,2,8
P0601,2130574,1.789762,-77.396520,2,8
P0602,2130575,3.421919,-76.598878,1,3
P0603,2130576,,-74.187375,1,1
P0604,2130577,10.956997,-74.803931,1,4
P0605,2130578,4.617214,-73.955743,1,1
P0606,2130579,11.054893,-74.778411,1,4
P0607,2130580,"10°24'13.73""N","75°26'44.64""E",1,5
P0608,2130581,"10°53'28.53""N","74°47'22.19""E",1,4
P0609,2130582,6.328085,-75.634288,1,2
P0610,2130583,10.924895,-74.853308,1,4
P0611,2130584,4.633467,-73.992835,1,1
P0612,2130585,10.412550,-75.487694,1,5
P0613,2130586,10.963691,-74.779272,1,4
P0615,2130587,8.336203,-75.783385,2,9
P0616,2130588,6.614708,-75.611587,2,7
P0617,2130589,10.355941,,1,5
P0618,2130590,3.579281,-73.970415,2,1
P0619,2130591,10.362572,-75.452937,1,5
P0620,2130592,6.210488,-75.717655,1,2
P0621,2130593,7.327735,-75.525650,2,7
P0622,2130594,,-75.452572,1,5
P0623,2130595,6.236349,-75.531250,1,2
P0624,2130596,4.664893,-73.973729,1,1
P0625,2130597,5.868394,-73.781413,2,6
P0626,2130598,1.752992,-77.633800,2,8
P0627,2130599,6.169152,-75.510943,1,2
P0628,2130600,5.518423,-72.853354,2,6
P0629,2130601,1.603360,-77.172024,2,8
P0630,2130602,3.421655,-76.492011,1,3
P0631,2130603,5.537428,-72.742892,2,6
P0632,2130604,6.674221,-75.639473,2,7
P0633,2130605,3.370779,-76.600697,1,3
P0634,2130606,4.584621,-74.080297,1,1
P0635,2130607,3.375152,-76.530825,1,3
P0636,2130608,10.922595,-74.832780,1,4
P0637,2130609,9.075272,-75.467928,2,9
P0638,2130610,8.468140,-75.749118,2,9
P0639,2130611,4.668581,-74.006155,1,1
P0640,2130612,1.696169,-77.648843,2,8
P0641,2130613,4.601497,-74.001360,1,1
P0642,2130614,,,1,2
P0643,2130615,6.316817,-75.567583,1,2
P0644,2130616,14.06207,-74.048383,1,1
P0645,2130617,6.798991,-75.781790,2,7
P0646,2130618,6.263116,-75.627218,1,2
