año;semestre;mes;dominio;li;lp
2012;1;5;MEDELLIN;106283,9983;298051,4642
2012;1;6;MEDELLIN;106283,9983;298051,4642
2012;2;7;MEDELLIN;106876,3947;302573,0621
2012;2;8;MEDELLIN;106876,3947;302573,0621
2012;2;9;MEDELLIN;106876,3947;302573,0621
2012;2;10;MEDELLIN;106876,3947;302573,0621
2012;2;11;MEDELLIN;106876,3947;302573,0621
2012;2;12;MEDELLIN;106876,3947;302573,0621
2012;1;1;MONTERIA;105574,768;240743,0746
2012;1;2;MONTERIA;105574,768;240743,0746
2012;1;3;MONTERIA;105574,768;240743,0746
2012;1;4;MONTERIA;105574,768;240743,0746
2012;1;5;MONTERIA;105574,768;240743,0746
2012;1;6;MONTERIA;105574,768;240743,0746
2012;2;7;MONTERIA;104679,1308;241633,9836
2012;2;8;MONTERIA;104679,1308;241633,9836
2012;2;9;MONTERIA;104679,1308;241633,9836
2012;2;10;MONTERIA;104679,1308;241633,9836
2012;2;11;MONTERIA;104679,1308;241633,9836
2012;2;12;MONTERIA;104679,1308;241633,9836
2012;1;1;NEIVA;111558,4396;315558,0169
2012;1;2;NEIVA;111558,4396;315558,0169
2012;1;3;NEIVA;111558,4396;315558,0169
2012;1;4;NEIVA;111558,4396;315558,0169
2012;1;5;NEIVA;111558,4396;315558,0169
2012;1;6;NEIVA;111558,4396;315558,0169
2012;2;7;NEIVA;112312,3;318134,8158
2012;2;8;NEIVA;112312,3;318134,8158
2012;2;9;NEIVA;112312,3;318134,8158
2012;2;10;NEIVA;112312,3;318134,8158
2012;2;11;NEIVA;112312,3;318134,8158
2012;2;12;NEIVA;112312,3;318134,8158
2012;1;1;PASTO;112347,1998;293300,1154
2012;1;2;PASTO;112347,1998;293300,1154
2012;1;3;PASTO;112347,1998;293300,1154
2012;1;4;PASTO;112347,1998;293300,1154
2012;1;5;PASTO;112347,1998;293300,1154
2012;1;6;PASTO;112347,1998;293300,1154
2012;2;7;PASTO;113117,1215;295868,9298
2012;2;8;PASTO;113117,1215;295868,9298
2012;2;9;PASTO;113117,1215;295868,9298
2012;2;10;PASTO;113117,1215;295868,9298
2012;2;11;PASTO;113117,1215;295868,9298
2012;2;12;PASTO;113117,1215;295868,9298
2012;1;1;PEREIRA;107760,2933;293106,984
2012;1;2;PEREIRA;107760,2933;293106,984
2012;1;3;PEREIRA;107760,2933;293106,984
2012;1;4;PEREIRA;107760,2933;293106,984
2012;1;5;PEREIRA;107760,2933;293106,984
2012;1;6;PEREIRA;107760,2933;293106,984
2012;2;7;PEREIRA;107669,6797;294454,2114
2012;2;8;PEREIRA;107669,6797;294454,2114
2012;2;9;PEREIRA;107669,6797;294454,2114
2012;2;10;PEREIRA;107669,6797;294454,2114
2012;2;11;PEREIRA;107669,6797;294454,2114
2012;2;12;PEREIRA;107669,6797;294454,2114
2012;1;1;POPAYAN;122459,7676;311712,1174
2012;1;2;POPAYAN;122459,7676;311712,1174
2012;1;3;POPAYAN;122459,7676;311712,1174
2012;1;4;POPAYAN;122459,7676;311712,1174
2012;1;5;POPAYAN;122459,7676;311712,1174
2012;1;6;POPAYAN;122459,7676;311712,1174
2012;2;7;POPAYAN;124084,5383;316006,6647
2012;2;8;POPAYAN;124084,5383;316006,6647
2012;2;9;POPAYAN;124084,5383;316006,6647
2012;2;10;POPAYAN;124084,5383;316006,6647
2012;2;11;POPAYAN;124084,5383;316006,6647
2012;2;12;POPAYAN;124084,5383;316006,6647
2012;1;1;QUIBDO;121064,4553;304118,528
2012;1;2;QUIBDO;121064,4553;304118,528
2012;1;3;QUIBDO;121064,4553;304118,528
2012;1;4;QUIBDO;121064,4553;304118,528
2012;1;5;QUIBDO;121064,4553;304118,528
2012;1;6;QUIBDO;121064,4553;304118,528
2012;2;7;QUIBDO;121038,3039;305789,2401
2012;2;8;QUIBDO;121038,3039;305789,2401
2012;2;9;QUIBDO;121038,3039;305789,2401
2012;2;10;QUIBDO;121038,3039;305789,2401
2012;2;11;QUIBDO;121038,3039;305789,2401
2012;2;12;QUIBDO;121038,3039;305789,2401
2012;1;1;RESTO URBANO;99091,58552;226060,8476
2012;1;2;RESTO URBANO;99091,58552;226060,8476
2012;1;3;RESTO URBANO;99091,58552;226060,8476
2012;1;4;RESTO URBANO;99091,58552;226060,8476
2012;1;5;RESTO URBANO;99091,58552;226060,8476
2012;1;6;RESTO URBANO;99091,58552;226060,8476
2012;2;7;RESTO URBANO;99070,18055;227302,7403
2012;2;8;RESTO URBANO;99070,18055;227302,7403
2012;2;9;RESTO URBANO;99070,18055;227302,7403
2012;2;10;RESTO URBANO;99070,18055;227302,7403
2012;2;11;RESTO URBANO;99070,18055;227302,7403
2012;2;12;RESTO URBANO;99070,18055;227302,7403
2012;1;1;RIOHACHA;96589,48302;212364,7924
2012;1;2;RIOHACHA;96589,48302;212364,7924
2012;1;3;RIOHACHA;96589,48302;212364,7924
2012;1;4;RIOHACHA;96589,48302;212364,7924
2012;1;5;RIOHACHA;96589,48302;212364,7924
2012;1;6;RIOHACHA;96589,48302;212364,7924
2012;2;7;RIOHACHA;94845,01436;212142,7391
2012;2;8;RIOHACHA;94845,01436;212142,7391
2012;2;9;RIOHACHA;94845,01436;212142,7391
2012;2;10;RIOHACHA;94845,01436;212142,7391
2012;2;11;RIOHACHA;94845,01436;212142,7391
2012;2;12;RIOHACHA;94845,01436;212142,7391
2012;1;1;RURAL;80700,96293;161410,9485
2012;1;2;RURAL;80700,96293;161410,9485
2012;1;3;RURAL;80700,96293;161410,9485
2012;1;4;RURAL;80700,96293;161410,9485
2012;1;5;RURAL;80700,96293;161410,9485
2012;1;6;RURAL;80700,96293;161410,9485
2012;2;7;RURAL;80669,00129;162366,0733
2012;2;8;RURAL;80669,00129;162366,0733
2012;2;9;RURAL;80669,00129;162366,0733
2012;2;10;RURAL;80669,00129;162366,0733
2012;2;11;RURAL;80669,00129;162366,0733
2012;2;12;RURAL;80669,00129;162366,0733
2012;1;1;SANTA MARTA;117471,5559;253506,7887
2012;1;2;SANTA MARTA;117471,5559;253506,7887
2012;1;3;SANTA MARTA;117471,5559;253506,7887
2012;1;4;SANTA MARTA;117471,5559;253506,7887
2012;1;5;SANTA MARTA;117471,5559;253506,7887
2012;1;6;SANTA MARTA;117471,5559;253506,7887
2012;2;7;SANTA MARTA;117708,2515;255177,9677
2012;2;8;SANTA MARTA;117708,2515;255177,9677
2012;2;9;SANTA MARTA;117708,2515;255177,9677
2012;2;10;SANTA MARTA;117708,2515;255177,9677
2012;2;11;SANTA MARTA;117708,2515;255177,9677
2012;2;12;SANTA MARTA;117708,2515;255177,9677
2012;1;1;SINCELEJO;95503,68693;227777,8582
2012;1;2;SINCELEJO;95503,68693;227777,8582
2012;1;3;SINCELEJO;95503,68693;227777,8582
2012;1;4;SINCELEJO;95503,68693;227777,8582
2012;1;5;SINCELEJO;95503,68693;227777,8582
2012;1;6;SINCELEJO;95503,68693;227777,8582
2012;2;7;SINCELEJO;94228,16541;227522,86
2012;2;8;SINCELEJO;94228,16541;227522,86
2012;2;9;SINCELEJO;94228,16541;227522,86
2012;2;10;SINCELEJO;94228,16541;227522,86
2012;2;11;SINCELEJO;94228,16541;227522,86
2012;2;12;SINCELEJO;94228,16541;227522,86
2012;1;1;TUNJA;131629,2935;332007,6299
2012;1;2;TUNJA;131629,2935;332007,6299
2012;1;3;TUNJA;131629,2935;332007,6299
2012;1;4;TUNJA;131629,2935;332007,6299
2012;1;5;TUNJA;131629,2935;332007,6299
2012;1;6;TUNJA;131629,2935;332007,6299
2012;2;7;TUNJA;131024,8924;331516,5814
2012;2;8;TUNJA;131024,8924;331516,5814
2012;2;9;TUNJA;131024,8924;331516,5814
2012;2;10;TUNJA;131024,8924;331516,5814
2012;2;11;TUNJA;131024,8924;331516,5814
2012;2;12;TUNJA;131024,8924;331516,5814
2012;1;1;VALLEDUPAR;102974,4936;256554,504
2012;1;2;VALLEDUPAR;102974,4936;256554,504
2012;1;3;VALLEDUPAR;102974,4936;256554,504
2012;1;4;VALLEDUPAR;102974,4936;256554,504
2012;1;5;VALLEDUPAR;102974,4936;256554,504
2012;1;6;VALLEDUPAR;102974,4936;256554,504
2012;2;7;VALLEDUPAR;102898,7168;258078,29
2012;2;8;VALLEDUPAR;102898,7168;258078,29
2012;2;9;VALLEDUPAR;102898,7168;258078,29
2012;2;10;VALLEDUPAR;102898,7168;258078,29
2012;2;11;VALLEDUPAR;102898,7168;258078,29
2012;2;12;VALLEDUPAR;102898,7168;258078,29
2012;1;1;VILLAVICENCIO;124772,4043;293020,2817
2012;1;2;VILLAVICENCIO;124772,4043;293020,2817
2012;1;3;VILLAVICENCIO;124772,4043;293020,2817
2012;1;4;VILLAVICENCIO;124772,4043;293020,2817
2012;1;5;VILLAVICENCIO;124772,4043;293020,2817
2012;1;6;VILLAVICENCIO;124772,4043;293020,2817
2012;2;7;VILLAVICENCIO;124757,2243;296009,0947
2012;2;8;VILLAVICENCIO;124757,2243;296009,0947
2012;2;9;VILLAVICENCIO;124757,2243;296009,0947
2012;2;10;VILLAVICENCIO;124757,2243;296009,0947
2012;2;11;VILLAVICENCIO;124757,2243;296009,0947
2012;2;12;VILLAVICENCIO;124757,2243;296009,0947
2013;1;1;ARMENIA;110541,9135;292480,4611
2013;1;2;ARMENIA;110541,9135;292480,4611
2013;1;3;ARMENIA;110541,9135;292480,4611
2013;1;4;ARMENIA;110541,9135;292480,4611
2013;1;5;ARMENIA;110541,9135;292480,4611
2013;1;6;ARMENIA;110541,9135;292480,4611
2013;2;7;ARMENIA;109587,3092;292379,7536
2013;2;8;ARMENIA;109587,3092;292379,7536
2013;2;9;ARMENIA;109587,3092;292379,7536
2013;2;10;ARMENIA;109587,3092;292379,7536
2013;2;11;ARMENIA;109587,3092;292379,7536
2013;2;12;ARMENIA;109587,3092;292379,7536
2013;1;1;BARRANQUILLA;107358,3213;245230,6578
2013;1;2;BARRANQUILLA;107358,3213;245230,6578
2013;1;3;BARRANQUILLA;107358,3213;245230,6578
2013;1;4;BARRANQUILLA;107358,3213;245230,6578
2013;1;5;BARRANQUILLA;107358,3213;245230,6578
2013;1;6;BARRANQUILLA;107358,3213;245230,6578
2013;2;7;BARRANQUILLA;106949,7726;245699,6675
2013;2;8;BARRANQUILLA;106949,7726;245699,6675
2013;2;9;BARRANQUILLA;106949,7726;245699,6675
2013;2;10;BARRANQUILLA;106949,7726;245699,6675
2013;2;11;BARRANQUILLA;106949,7726;245699,6675
2013;2;12;BARRANQUILLA;106949,7726;245699,6675
2013;1;1;BOGOTA;131151,1629;347442,8567
2013;1;2;BOGOTA;131151,1629;347442,8567
2013;1;3;BOGOTA;131151,1629;347442,8567
2013;1;4;BOGOTA;131151,1629;347442,8567
2013;1;5;BOGOTA;131151,1629;347442,8567
2013;1;6;BOGOTA;131151,1629;347442,8567
2013;2;7;BOGOTA;129516,8413;345565,3858
2013;2;8;BOGOTA;129516,8413;345565,3858
2013;2;9;BOGOTA;129516,8413;345565,3858
2013;2;10;BOGOTA;129516,8413;345565,3858
2013;2;11;BOGOTA;129516,8413;345565,3858
2013;2;12;BOGOTA;129516,8413;345565,3858
2013;1;1;BUCARAMANGA;134447,3167;340727,7474
2013;1;2;BUCARAMANGA;134447,3167;340727,7474
2013;1;3;BUCARAMANGA;134447,3167;340727,7474
2013;1;4;BUCARAMANGA;134447,3167;340727,7474
2013;1;5;BUCARAMANGA;134447,3167;340727,7474
2013;1;6;BUCARAMANGA;134447,3167;340727,7474
2013;2;7;BUCARAMANGA;131660,6718;339747,5704
2013;2;8;BUCARAMANGA;131660,6718;339747,5704
2013;2;9;BUCARAMANGA;131660,6718;339747,5704
2013;2;10;BUCARAMANGA;131660,6718;339747,5704
2013;2;11;BUCARAMANGA;131660,6718;339747,5704
2013;2;12;BUCARAMANGA;131660,6718;339747,5704
2013;1;1;CALI;101078,9586;262860,0049
2013;1;2;CALI;101078,9586;262860,0049
2013;1;3;CALI;101078,9586;262860,0049
2013;1;4;CALI;101078,9586;262860,0049
2013;1;5;CALI;101078,9586;262860,0049
2013;1;6;CALI;101078,9586;262860,0049
2013;2;7;CALI;100901,9935;263071,1902
2013;2;8;CALI;100901,9935;263071,1902
2013;2;9;CALI;100901,9935;263071,1902
2013;2;10;CALI;100901,9935;263071,1902
2013;2;11;CALI;100901,9935;263071,1902
2013;2;12;CALI;100901,9935;263071,1902
2013;1;1;CARTAGENA;108772,3632;270389,1063
2013;1;2;CARTAGENA;108772,3632;270389,1063
2013;1;3;CARTAGENA;108772,3632;270389,1063
2013;1;4;CARTAGENA;108772,3632;270389,1063
2013;1;5;CARTAGENA;108772,3632;270389,1063
2013;1;6;CARTAGENA;108772,3632;270389,1063
2013;2;7;CARTAGENA;108142,2989;270502,2582
2013;2;8;CARTAGENA;108142,2989;270502,2582
2013;2;9;CARTAGENA;108142,2989;270502,2582
2013;2;10;CARTAGENA;108142,2989;270502,2582
2013;2;11;CARTAGENA;108142,2989;270502,2582
2013;2;12;CARTAGENA;108142,2989;270502,2582
2013;1;1;CUCUTA;99414,72904;249219,0752
2013;1;2;CUCUTA;99414,72904;249219,0752
2013;1;3;CUCUTA;99414,72904;249219,0752
2013;1;4;CUCUTA;99414,72904;249219,0752
2013;1;5;CUCUTA;99414,72904;249219,0752
2013;1;6;CUCUTA;99414,72904;249219,0752
2013;2;7;CUCUTA;95545,38417;245697,6814
2013;2;8;CUCUTA;95545,38417;245697,6814
2013;2;9;CUCUTA;95545,38417;245697,6814
2013;2;10;CUCUTA;95545,38417;245697,6814
2013;2;11;CUCUTA;95545,38417;245697,6814
2013;2;12;CUCUTA;95545,38417;245697,6814
2013;1;1;FLORENCIA;98343,2661;274191,3401
2013;1;2;FLORENCIA;98343,2661;274191,3401
2013;1;3;FLORENCIA;98343,2661;274191,3401
2013;1;4;FLORENCIA;98343,2661;274191,3401
2013;1;5;FLORENCIA;98343,2661;274191,3401
2013;1;6;FLORENCIA;98343,2661;274191,3401
2013;2;7;FLORENCIA;97389,25736;275167,0074
2013;2;8;FLORENCIA;97389,25736;275167,0074
2013;2;9;FLORENCIA;97389,25736;275167,0074
2013;2;10;FLORENCIA;97389,25736;275167,0074
2013;2;11;FLORENCIA;97389,25736;275167,0074
2013;2;12;FLORENCIA;97389,25736;275167,0074
2013;1;1;IBAGUE;108406,7918;295480,9043
2013;1;2;IBAGUE;108406,7918;295480,9043
2013;1;3;IBAGUE;108406,7918;295480,9043
2013;1;4;IBAGUE;108406,7918;295480,9043
2013;1;5;IBAGUE;108406,7918;295480,9043
2013;1;6;IBAGUE;108406,7918;295480,9043
2013;2;7;IBAGUE;106166,414;294450,9365
2013;2;8;IBAGUE;106166,414;294450,9365
2013;2;9;IBAGUE;106166,414;294450,9365
2013;2;10;IBAGUE;106166,414;294450,9365
2013;2;11;IBAGUE;106166,414;294450,9365
2013;2;12;IBAGUE;106166,414;294450,9365
2013;1;1;MANIZALES;97907,34615;281955,0224
2013;1;2;MANIZALES;97907,34615;281955,0224
2013;1;3;MANIZALES;97907,34615;281955,0224
2013;1;4;MANIZALES;97907,34615;281955,0224
2013;1;5;MANIZALES;97907,34615;281955,0224
2013;1;6;MANIZALES;97907,34615;281955,0224
2013;2;7;MANIZALES;97354,16771;282815,6728
2013;2;8;MANIZALES;97354,16771;282815,6728
2013;2;9;MANIZALES;97354,16771;282815,6728
2013;2;10;MANIZALES;97354,16771;282815,6728
2013;2;11;MANIZALES;97354,16771;282815,6728
2013;2;12;MANIZALES;97354,16771;282815,6728
2013;1;1;MEDELLIN;106091,9338;305078,5577
2013;1;2;MEDELLIN;106091,9338;305078,5577
2013;1;3;MEDELLIN;106091,9338;305078,5577
2013;1;4;MEDELLIN;106091,9338;305078,5577
2013;1;5;MEDELLIN;106091,9338;305078,5577
2013;1;6;MEDELLIN;106091,9338;305078,5577
2013;2;7;MEDELLIN;106027,4825;306739,8124
2013;2;8;MEDELLIN;106027,4825;306739,8124
2013;2;9;MEDELLIN;106027,4825;306739,8124
2013;2;10;MEDELLIN;106027,4825;306739,8124
2013;2;11;MEDELLIN;106027,4825;306739,8124
2013;2;12;MEDELLIN;106027,4825;306739,8124
2013;1;1;MONTERIA;105161,1267;245407,5991
2013;1;2;MONTERIA;105161,1267;245407,5991
2013;1;3;MONTERIA;105161,1267;245407,5991
2013;1;4;MONTERIA;105161,1267;245407,5991
2013;1;5;MONTERIA;105161,1267;245407,5991
2013;1;6;MONTERIA;105161,1267;245407,5991
2013;2;7;MONTERIA;102572,9468;243559,4506
2013;2;8;MONTERIA;102572,9468;243559,4506
2013;2;9;MONTERIA;102572,9468;243559,4506
2013;2;10;MONTERIA;102572,9468;243559,4506
2013;2;11;MONTERIA;102572,9468;243559,4506
2013;2;12;MONTERIA;102572,9468;243559,4506
2013;1;1;NEIVA;111824,2113;322456,0787
2013;1;2;NEIVA;111824,2113;322456,0787
2013;1;3;NEIVA;111824,2113;322456,0787
2013;1;4;NEIVA;111824,2113;322456,0787
2013;1;5;NEIVA;111824,2113;322456,0787
2013;1;6;NEIVA;111824,2113;322456,0787
2013;2;7;NEIVA;110630,026;321919,0415
2013;2;8;NEIVA;110630,026;321919,0415
2013;2;9;NEIVA;110630,026;321919,0415
2013;2;10;NEIVA;110630,026;321919,0415
2013;2;11;NEIVA;110630,026;321919,0415
2013;2;12;NEIVA;110630,026;321919,0415
2013;1;1;PASTO;111040,3884;295576,1322
2013;1;2;PASTO;111040,3884;295576,1322
2013;1;3;PASTO;111040,3884;295576,1322
2013;1;4;PASTO;111040,3884;295576,1322
2013;1;5;PASTO;111040,3884;295576,1322
2013;1;6;PASTO;111040,3884;295576,1322
2013;2;7;PASTO;110688,0577;297287,3882
2013;2;8;PASTO;110688,0577;297287,3882
2013;2;9;PASTO;110688,0577;297287,3882
2013;2;10;PASTO;110688,0577;297287,3882
2013;2;11;PASTO;110688,0577;297287,3882
2013;2;12;PASTO;110688,0577;297287,3882
2013;1;1;PEREIRA;107595,1174;299248,7947
2013;1;2;PEREIRA;107595,1174;299248,7947
2013;1;3;PEREIRA;107595,1174;299248,7947
2013;1;4;PEREIRA;107595,1174;299248,7947
2013;1;5;PEREIRA;107595,1174;299248,7947
2013;1;6;PEREIRA;107595,1174;299248,7947
2013;2;7;PEREIRA;106654,4332;299554,3062
2013;2;8;PEREIRA;106654,4332;299554,3062
2013;2;9;PEREIRA;106654,4332;299554,3062
2013;2;10;PEREIRA;106654,4332;299554,3062
2013;2;11;PEREIRA;106654,4332;299554,3062
2013;2;12;PEREIRA;106654,4332;299554,3062
2013;1;1;POPAYAN;122508,5901;317294,5055
2013;1;2;POPAYAN;122508,5901;317294,5055
2013;1;3;POPAYAN;122508,5901;317294,5055
2013;1;4;POPAYAN;122508,5901;317294,5055
2013;1;5;POPAYAN;122508,5901;317294,5055
2013;1;6;POPAYAN;122508,5901;317294,5055
2013;2;7;POPAYAN;121102,6491;317990,5806
2013;2;8;POPAYAN;121102,6491;317990,5806
2013;2;9;POPAYAN;121102,6491;317990,5806
2013;2;10;POPAYAN;121102,6491;317990,5806
2013;2;11;POPAYAN;121102,6491;317990,5806
2013;2;12;POPAYAN;121102,6491;317990,5806
2013;1;1;QUIBDO;121091,5568;310355,2995
2013;1;2;QUIBDO;121091,5568;310355,2995
2013;1;3;QUIBDO;121091,5568;310355,2995
2013;1;4;QUIBDO;121091,5568;310355,2995
2013;1;5;QUIBDO;121091,5568;310355,2995
2013;1;6;QUIBDO;121091,5568;310355,2995
2013;2;7;QUIBDO;119494,2235;310066,8899
2013;2;8;QUIBDO;119494,2235;310066,8899
2013;2;9;QUIBDO;119494,2235;310066,8899
2013;2;10;QUIBDO;119494,2235;310066,8899
2013;2;11;QUIBDO;119494,2235;310066,8899
2013;2;12;QUIBDO;119494,2235;310066,8899
2013;1;1;RESTO URBANO;99113,76817;230696,8356
2013;1;2;RESTO URBANO;99113,76817;230696,8356
2013;1;3;RESTO URBANO;99113,76817;230696,8356
2013;1;4;RESTO URBANO;99113,76817;230696,8356
2013;1;5;RESTO URBANO;99113,76817;230696,8356
2013;1;6;RESTO URBANO;99113,76817;230696,8356
2013;2;7;RESTO URBANO;97806,34657;230482,4517
2013;2;8;RESTO URBANO;97806,34657;230482,4517
2013;2;9;RESTO URBANO;97806,34657;230482,4517
2013;2;10;RESTO URBANO;97806,34657;230482,4517
2013;2;11;RESTO URBANO;97806,34657;230482,4517
2013;2;12;RESTO URBANO;97806,34657;230482,4517
2013;1;1;RIOHACHA;98869,36039;219007,3534
2013;1;2;RIOHACHA;98869,36039;219007,3534
2013;1;3;RIOHACHA;98869,36039;219007,3534
2013;1;4;RIOHACHA;98869,36039;219007,3534
2013;1;5;RIOHACHA;98869,36039;219007,3534
2013;1;6;RIOHACHA;98869,36039;219007,3534
2013;2;7;RIOHACHA;97441,46673;218365,5169
2013;2;8;RIOHACHA;97441,46673;218365,5169
2013;2;9;RIOHACHA;97441,46673;218365,5169
2013;2;10;RIOHACHA;97441,46673;218365,5169
2013;2;11;RIOHACHA;97441,46673;218365,5169
2013;2;12;RIOHACHA;97441,46673;218365,5169
2013;1;1;RURAL;80414,86769;164415,9142
2013;1;2;RURAL;80414,86769;164415,9142
2013;1;3;RURAL;80414,86769;164415,9142
