articulo,factor_respaldo,supuesto
cuotas_extraordinarias_de_administracion_o_comunitarias,0.0833,"Sin columna per_ en ninguna ola. Se asume recall anual, por capitulo IX-C del manual metodologico (Gastos ANUALES, cod_articulo 26-35) donde aplica, o por analogia con el mismo capitulo para gastos excepcionales de salud/educacion/impuestos sin equivalente documentado."
diversiones_y_entretenimiento_espectaculos_discotecas_cines_deportes_etc,0.0833,"Sin columna per_ en ninguna ola. Se asume recall anual, por capitulo IX-C del manual metodologico (Gastos ANUALES, cod_articulo 26-35) donde aplica, o por analogia con el mismo capitulo para gastos excepcionales de salud/educacion/impuestos sin equivalente documentado."
educacion_pagos_de_matriculas_escolares_universitarias_uniformes_diferentes_a_las_reportadas_en_403_m,0.0833,"Sin columna per_ en ninguna ola. Se asume recall anual, por capitulo IX-C del manual metodologico (Gastos ANUALES, cod_articulo 26-35) donde aplica, o por analogia con el mismo capitulo para gastos excepcionales de salud/educacion/impuestos sin equivalente documentado."
gastos_en_educacion,0.0833,"Sin columna per_ en ninguna ola. Se asume recall anual, por capitulo IX-C del manual metodologico (Gastos ANUALES, cod_articulo 26-35) donde aplica, o por analogia con el mismo capitulo para gastos excepcionales de salud/educacion/impuestos sin equivalente documentado."
gastos_en_educacion_pensiones_libros_utiles_fotocopias_etc,0.0833,"Sin columna per_ en ninguna ola. Se asume recall anual, por capitulo IX-C del manual metodologico (Gastos ANUALES, cod_articulo 26-35) donde aplica, o por analogia con el mismo capitulo para gastos excepcionales de salud/educacion/impuestos sin equivalente documentado."
gastos_en_salud_medicamentos_examenes_consultas_etc,0.0833,"Sin columna per_ en ninguna ola. Se asume recall anual, por capitulo IX-C del manual metodologico (Gastos ANUALES, cod_articulo 26-35) donde aplica, o por analogia con el mismo capitulo para gastos excepcionales de salud/educacion/impuestos sin equivalente documentado."
gastos_en_vacaciones_hospedaje_transporte_pasajes_de_avion_otros,0.0833,"Sin columna per_ en ninguna ola. Se asume recall anual, por capitulo IX-C del manual metodologico (Gastos ANUALES, cod_articulo 26-35) donde aplica, o por analogia con el mismo capitulo para gastos excepcionales de salud/educacion/impuestos sin equivalente documentado."
impuesto_a_la_renta_complementarios_y_predial,0.0833,"Sin columna per_ en ninguna ola. Se asume recall anual, por capitulo IX-C del manual metodologico (Gastos ANUALES, cod_articulo 26-35) donde aplica, o por analogia con el mismo capitulo para gastos excepcionales de salud/educacion/impuestos sin equivalente documentado."
impuesto_a_la_renta_y_complementarios,0.0833,"Sin columna per_ en ninguna ola. Se asume recall anual, por capitulo IX-C del manual metodologico (Gastos ANUALES, cod_articulo 26-35) donde aplica, o por analogia con el mismo capitulo para gastos excepcionales de salud/educacion/impuestos sin equivalente documentado."
lavado_y_planchado_de_ropa_fuera_del_hogar,0.0833,"Sin columna per_ en ninguna ola. Se asume recall anual, por capitulo IX-C del manual metodologico (Gastos ANUALES, cod_articulo 26-35) donde aplica, o por analogia con el mismo capitulo para gastos excepcionales de salud/educacion/impuestos sin equivalente documentado."
medias_veladas_para_mujer,0.0833,"Sin columna per_ en ninguna ola. Se asume recall anual, por capitulo IX-C del manual metodologico (Gastos ANUALES, cod_articulo 26-35) donde aplica, o por analogia con el mismo capitulo para gastos excepcionales de salud/educacion/impuestos sin equivalente documentado."
muebles_para_el_hogar_sala_comedor_camas_etc,0.0833,"Sin columna per_ en ninguna ola. Se asume recall anual, por capitulo IX-C del manual metodologico (Gastos ANUALES, cod_articulo 26-35) donde aplica, o por analogia con el mismo capitulo para gastos excepcionales de salud/educacion/impuestos sin equivalente documentado."
nevera_estufa_tv_lavadora_brilladora_horno_y_otros_electrodomesticos_y_gasodomesticos,0.0833,"Sin columna per_ en ninguna ola. Se asume recall anual, por capitulo IX-C del manual metodologico (Gastos ANUALES, cod_articulo 26-35) donde aplica, o por analogia con el mismo capitulo para gastos excepcionales de salud/educacion/impuestos sin equivalente documentado."
ollas_vajillas_cubiertos_y_otros_utensilios_domesticos,0.0833,"Sin columna per_ en ninguna ola. Se asume recall anual, por capitulo IX-C del manual metodologico (Gastos ANUALES, cod_articulo 26-35) donde aplica, o por analogia con el mismo capitulo para gastos excepcionales de salud/educacion/impuestos sin equivalente documentado."
pago_de_hoteles,0.0833,"Sin columna per_ en ninguna ola. Se asume recall anual, por capitulo IX-C del manual metodologico (Gastos ANUALES, cod_articulo 26-35) donde aplica, o por analogia con el mismo capitulo para gastos excepcionales de salud/educacion/impuestos sin equivalente documentado."
pago_de_impuestos_de_vehiculos_de_uso_del_hogar_seguro_obligatorio_soat,0.0833,"Sin columna per_ en ninguna ola. Se asume recall anual, por capitulo IX-C del manual metodologico (Gastos ANUALES, cod_articulo 26-35) donde aplica, o por analogia con el mismo capitulo para gastos excepcionales de salud/educacion/impuestos sin equivalente documentado."
pago_del_servicio_de_celular_compra_de_minutos_o_recargas,0.0833,"Sin columna per_ en ninguna ola. Se asume recall anual, por capitulo IX-C del manual metodologico (Gastos ANUALES, cod_articulo 26-35) donde aplica, o por analogia con el mismo capitulo para gastos excepcionales de salud/educacion/impuestos sin equivalente documentado."
pasajes_de_avion,0.0833,"Sin columna per_ en ninguna ola. Se asume recall anual, por capitulo IX-C del manual metodologico (Gastos ANUALES, cod_articulo 26-35) donde aplica, o por analogia con el mismo capitulo para gastos excepcionales de salud/educacion/impuestos sin equivalente documentado."
polizas_o_seguro_de_salud,0.0833,"Sin columna per_ en ninguna ola. Se asume recall anual, por capitulo IX-C del manual metodologico (Gastos ANUALES, cod_articulo 26-35) donde aplica, o por analogia con el mismo capitulo para gastos excepcionales de salud/educacion/impuestos sin equivalente documentado."
primas_o_polizas_de_seguros,0.0833,"Sin columna per_ en ninguna ola. Se asume recall anual, por capitulo IX-C del manual metodologico (Gastos ANUALES, cod_articulo 26-35) donde aplica, o por analogia con el mismo capitulo para gastos excepcionales de salud/educacion/impuestos sin equivalente documentado."
reparaciones_y_mejoras_de_la_vivienda_plomeria_electricidad_pintura_resane_y_panetes,0.0833,"Sin columna per_ en ninguna ola. Se asume recall anual, por capitulo IX-C del manual metodologico (Gastos ANUALES, cod_articulo 26-35) donde aplica, o por analogia con el mismo capitulo para gastos excepcionales de salud/educacion/impuestos sin equivalente documentado."
salud_medicamentos_examenes_consultas_etc,0.0833,"Sin columna per_ en ninguna ola. Se asume recall anual, por capitulo IX-C del manual metodologico (Gastos ANUALES, cod_articulo 26-35) donde aplica, o por analogia con el mismo capitulo para gastos excepcionales de salud/educacion/impuestos sin equivalente documentado."
salud_terapias_hospitalizaciones_etc_diferentes_a_las_reportadas_en_403_l,0.0833,"Sin columna per_ en ninguna ola. Se asume recall anual, por capitulo IX-C del manual metodologico (Gastos ANUALES, cod_articulo 26-35) donde aplica, o por analogia con el mismo capitulo para gastos excepcionales de salud/educacion/impuestos sin equivalente documentado."
seguro_contra_incendios_o_contra_robo_de_la_vivienda_o_vehiculos_de_uso_del_hogar,0.0833,"Sin columna per_ en ninguna ola. Se asume recall anual, por capitulo IX-C del manual metodologico (Gastos ANUALES, cod_articulo 26-35) donde aplica, o por analogia con el mismo capitulo para gastos excepcionales de salud/educacion/impuestos sin equivalente documentado."
tela_para_vestuario_u_otros_usos,0.0833,"Sin columna per_ en ninguna ola. Se asume recall anual, por capitulo IX-C del manual metodologico (Gastos ANUALES, cod_articulo 26-35) donde aplica, o por analogia con el mismo capitulo para gastos excepcionales de salud/educacion/impuestos sin equivalente documentado."
vehiculo_moto_para_uso_del_hogar,0.0833,"Sin columna per_ en ninguna ola. Se asume recall anual, por capitulo IX-C del manual metodologico (Gastos ANUALES, cod_articulo 26-35) donde aplica, o por analogia con el mismo capitulo para gastos excepcionales de salud/educacion/impuestos sin equivalente documentado."
